         _id            timestamp  ... device  label
13238  13239  2019-07-24 12:13:05  ...  Watch       
13239  13240  2019-07-24 12:28:11  ...  Watch       
13240  13241  2019-07-24 12:43:17  ...  Watch       
16012  16013  2019-07-24 12:58:24  ...  Watch       
16013  16014  2019-07-24 13:13:31  ...  Watch       

[786 rows x 9 columns] 


         _id            timestamp  ...  device  label
11919  11920  2019-07-21 13:16:31  ...  iPhone       
11920  11921  2019-07-21 13:26:52  ...  iPhone       
11921  11922  2019-07-21 13:42:19  ...  iPhone       
11922  11923  2019-07-21 14:01:29  ...  iPhone       
11923  11924  2019-07-21 14:13:06  ...  iPhone       
11924  11925  2019-07-21 14:23:05  ...  iPhone       
11925  11926  2019-07-21 14:38:57  ...  iPhone       
11926  11927  2019-07-21 14:48:29  ...  iPhone       
11927  11928  2019-07-21 14:58:36  ...  iPhone       
11928  11929  2019-07-21 15:09:09  ...  iPhone       
11929  11930  2019-07-21 15:19:39  ...  iPhone       
11930  11931  2019-07-21 15:29:40  ...  iPhone       
11931  11932  2019-07-21 15:50:57  ...  iPhone       
11932  11933  2019-07-21 16:39:05  ...  iPhone       
11933  11934  2019-07-21 16:49:20  ...  iPhone       
11934  11935  2019-07-21 17:00:54  ...  iPhone       
11935  11936  2019-07-21 17:10:53  ...  iPhone       
11936  11937  2019-07-21 17:22:37  ...  iPhone       
11937  11938  2019-07-21 17:32:37  ...  iPhone       
11938  11939  2019-07-21 17:42:36  ...  iPhone       
11939  11940  2019-07-21 18:20:54  ...  iPhone       
11940  11941  2019-07-21 18:33:49  ...  iPhone       
11941  11942  2019-07-21 18:43:48  ...  iPhone       
11942  11943  2019-07-21 19:16:24  ...  iPhone       
11943  11944  2019-07-21 19:26:36  ...  iPhone       
11944  11945  2019-07-21 19:38:20  ...  iPhone       
11945  11946  2019-07-21 20:35:18  ...  iPhone       
11946  11947  2019-07-21 21:22:16  ...  iPhone       
11947  11948  2019-07-21 21:24:38  ...   Watch       
11948  11949  2019-07-21 21:32:20  ...   Watch       
...      ...                  ...  ...     ...    ...
12821  12822  2019-07-24 09:24:04  ...   Watch       
12822  12823  2019-07-24 09:25:06  ...   Watch       
12823  12824  2019-07-24 09:28:48  ...  iPhone       
12824  12825  2019-07-24 09:36:57  ...   Watch       
12825  12826  2019-07-24 09:39:00  ...   Watch       
12826  12827  2019-07-24 09:40:54  ...  iPhone       
12827  12828  2019-07-24 09:41:04  ...   Watch       
12828  12829  2019-07-24 09:50:54  ...  iPhone       
12829  12830  2019-07-24 09:51:02  ...   Watch       
12830  12831  2019-07-24 10:00:58  ...  iPhone       
12831  12832  2019-07-24 10:01:00  ...   Watch       
12832  12833  2019-07-24 10:02:01  ...   Watch       
